,platform,genre,title,score
306,                                        Game Boy Advance,platformer,Crash Bandicoot: The Huge Adventure,78
307,                                        DS,platformer,Spider-Man: Web of Shadows,77
308,                                        PC,platformer,Sonic Generations,77
309,                                        PlayStation 3,platformer,Skylanders Giants,77
310,                                        PlayStation 3,platformer,Mega Man 9,77
311,                                        GameCube,platformer,Rayman 3: Hoodlum Havoc,77
312,                                        Xbox 360,platformer,Eets: Chowdown,77
313,                                        GameCube,platformer,I-Ninja,77
314,                                        Xbox 360,platformer,Banjo-Kazooie,77
315,                                        PC,platformer,Giana Sisters: Twisted Dreams,77
316,                                        Game Boy Advance,platformer,Mega Man Zero 3,77
317,                                        PC,platformer,Element4l,77
318,                                        PlayStation 4,platformer,Valiant Hearts: The Great War,77
319,                                        Xbox 360,platformer,Sonic Generations,77
320,                                        PlayStation 2,platformer,Ape Escape 3,77
321,                                        Xbox 360,platformer,Sonic the Hedgehog (Live Arcade),77
322,                                        PC,platformer,Thomas Was Alone,77
323,                                        Xbox 360,platformer,Wik & the Fable of Souls,77
324,                                        iOS,platformer,Canabalt,77
325,                                        3DS,platformer,3D Classics: Kid Icarus,77
326,                                        PC,platformer,Teslagrad,77
327,                                        Nintendo 64,platformer,Kirby 64: The Crystal Shards,77
328,                                        Wii,platformer,Kirby's Return to Dream Land,77
329,                                        3DS,platformer,3D Classics: Kirby's Adventure,77
330,                                        DS,platformer,DodoGo!,77
331,                                        PC,platformer,Angry Video Game Nerd Adventures,77
332,                                        Game Boy Advance,platformer,Mega Man Zero 4,77
333,                                        Game Boy Advance,platformer,Donkey Kong Country 3,77
334,                                        PlayStation 3,platformer,Valiant Hearts: The Great War,77
335,                                        Wii,platformer,Klonoa,77
336,                                        Game Boy Advance,platformer,Disney's Kim Possible 2: Drakken's Demise,77
337,                                        Xbox 360,platformer,de Blob 2,77
338,                                        PlayStation 3,platformer,Skylanders: Spyro's Adventure,77
339,                                        Wii U,platformer,New Super Luigi U,77
340,                                        PC,platformer,SteamWorld Dig,76
341,                                        PlayStation,platformer,Mega Man X5,76
342,                                        GameCube,platformer,Spider-Man: The Movie,76
343,                                        DS,platformer,Mario vs. Donkey Kong 2: March of the Minis,76
344,                                        PlayStation 3,platformer,Ratchet & Clank: Into the Nexus,76
345,                                        DS,platformer,Antipole,76
346,                                        PlayStation 3,platformer,Ratchet & Clank Future: Quest for Booty,76
347,                                        Wii,platformer,Bubble Bobble Plus!,76
348,                                        Game Boy Advance,platformer,Spyro 2: Season of Flame,76
349,                                        Game Boy Advance,platformer,Disney's Kim Possible 3: Team Possible,76
350,                                        PC,platformer,Shantae: Half-Genie Hero,76
351,                                        PlayStation 3,platformer,Sonic Generations,76
352,                                        PlayStation 3,platformer,Tales From Space: About a Blob,76
353,                                        DS,platformer,Kirby Super Star Ultra,76
354,                                        iOS,platformer,Max and the Magic Marker for iPad,76
355,                                        PSP,platformer,Pix'n Love Rush,76
356,                                        Xbox 360,platformer,Lode Runner,76
357,                                        PlayStation 2,platformer,Rayman 3: Hoodlum Havoc,76
358,                                        Wii U,platformer,Disney DuckTales Remastered,76
359,                                        PlayStation 3,platformer,Kung Fu Panda,76
360,                                        iOS,platformer,Paper Monsters,76
361,                                        DS,platformer,Aliens: Infestation,76
362,                                        Game Boy Advance,platformer,One Piece,76
363,                                        DS,platformer,Mega Man ZX,76
364,                                        PlayStation 2,platformer,Disney's Kim Possible: What's the Switch?,76
365,                                        Wii,platformer,Max & the Magic Marker,76
366,                                        GameCube,platformer,Tak: The Great Juju Challenge,75
367,                                        DS,platformer,de Blob 2,75
368,                                        PlayStation 3,platformer,NiGHTS into Dreams...,75
369,                                        Xbox,platformer,Tak: The Great Juju Challenge,75
370,                                        GameCube,platformer,Mega Man X Collection,75
371,                                        PC,platformer,Scribblenauts Unlimited,75
372,                                        PlayStation 3,platformer,Jet Set Radio,75
373,                                        DS,platformer,The Legendary Starfy,75
374,                                        PC,platformer,Seasons After Fall,75
375,                                        Xbox,platformer,Rayman 3: Hoodlum Havoc,75
376,                                        PC,platformer,Tobe's Vertical Adventure,75
377,                                        PlayStation 3,platformer,Cloudberry Kingdom,75
378,                                        PC,platformer,The Maw,75
379,                                        PC,platformer,OIO The Game,75
380,                                        PlayStation 2,platformer,The SpongeBob SquarePants Movie,75
381,                                        Xbox 360,platformer,Hard Corps: Uprising,75
382,                                        Xbox 360,platformer,The Maw,75
383,                                        iOS,platformer,Max and the Magic Marker,75
384,                                        PC,platformer,And Yet It Moves,75
385,                                        Wii U,platformer,Cloudberry Kingdom,75
386,                                        Game Boy Advance,platformer,Crash Bandicoot 2: N-Tranced,75
387,                                        Xbox 360,platformer,DreamWorks Kung Fu Panda,75
388,                                        PlayStation 3,platformer,Sly Cooper: Thieves in Time,75
389,                                        GameCube,platformer,Tak 2: The Staff of Dreams,75
390,                                        DS,platformer,Super Princess Peach,75
391,                                        PlayStation 3,platformer,Disney DuckTales Remastered,75
392,                                        Wii,platformer,Ivy the Kiwi?,74
393,                                        PSP,platformer,Freekscape: Escape From Hell,74
394,                                        PC,platformer,Edge (2011),74
395,                                        Xbox,platformer,The SpongeBob SquarePants Movie,74
396,                                        GameCube,platformer,Pac-Man World 2,74
