,platform,genre,title,score
360,                                        PlayStation 3,third-person,Dead Nation: Road of Devastation,75
361,                                        Wii,third-person,Spider-Man: Shattered Dimensions,75
362,                                        PSP,third-person,Chili Con Carnage,74
363,                                        PC,third-person,Back to the Future: The Game - Episode I: It's About Time,74
364,                                        PlayStation 4,third-person,Dead Nation: Apocalypse Edition,74
365,                                        PC,third-person,Back to the Future: The Game - Episode II: Get Tannen!,74
366,                                        GameCube,third-person,Robotech: Battlecry,74
367,                                        PC,third-person,War World: Tactical Combat,74
368,                                        Xbox 360,third-person,Sam & Max: Save the World,74
369,                                        PC,third-person,Shadowgrounds,74
370,                                        PlayStation 3,third-person,Spider-Man: Shattered Dimensions,74
371,                                        PlayStation 3,third-person,Army of Two,74
372,                                        PC,third-person,Hitman: Contracts,74
373,                                        PlayStation 4,third-person,Sniper Elite III: Ultimate Edition,74
374,                                        PC,third-person,Runaway: A Road Adventure,74
375,                                        PC,third-person,"Guns, Gore & Cannoli",74
376,                                        Xbox 360,third-person,Binary Domain,74
377,                                        Xbox One,third-person,Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,74
378,                                        PC,third-person,"Warhammer 40,000: Space Marine",74
379,                                        PC,third-person,Fur Fighters,74
380,                                        iOS,third-person,Back to the Future Ep 3 HD,74
381,                                        Wii,third-person,Sam & Max: Season One,74
382,                                        Xbox One,third-person,Shadow Complex Remastered,74
383,                                        PlayStation 3,third-person,Army of Two: The 40th Day,74
384,                                        PSP,third-person,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,74
385,                                        PC,third-person,"Sam & Max Episode 103: The Mole, the Mob and the Meatball",74
386,                                        Xbox,third-person,Red Dead Revolver,74
387,                                        PSP,third-person,Infected,74
388,                                        PlayStation 4,third-person,Tom Clancy's The Division 2: Warlords of New York,74
389,                                        Xbox,third-person,Robotech: Battlecry,74
390,                                        PC,third-person,11-11: Memories Retold,73
391,                                        Xbox 360,third-person,Army of Two: The 40th Day,73
392,                                        PlayStation 2,third-person,Red Dead Revolver,73
393,                                        Game Boy Advance,third-person,James Bond 007: Everything or Nothing,73
394,                                        iOS,third-person,Deadlock: Online,73
395,                                        PC,third-person,MDK2 HD,73
396,                                        iOS,third-person,WarFriends,73
397,                                        Switch,third-person,Sniper Elite III: Ultimate Edition,73
398,                                        PlayStation 2,third-person,kill.switch,73
399,                                        PlayStation 4,third-person,Project Nimbus: Code Mirai,73
400,                                        Xbox,third-person,Dead to Rights,73
401,                                        PlayStation 2,third-person,Dead to Rights,73
402,                                        Xbox One,third-person,State of Mind,73
403,                                        GameCube,third-person,Star Wars: The Clone Wars,73
404,                                        GameCube,third-person,Conflict: Desert Storm II - Back to Baghdad,73
405,                                        PC,third-person,AGON: The Mysterious Codex,73
406,                                        Xbox,third-person,Dreamfall: The Longest Journey,73
407,                                        PlayStation 2,third-person,Defender,73
408,                                        DS,third-person,Spider-Man: Shattered Dimensions,73
409,                                        GameCube,third-person,BloodRayne,73
410,                                        Xbox One,third-person,The Walking Dead: Michonne - Episode 3: What We Deserve,73
411,                                        Xbox One,third-person,Sniper Elite V2 Remastered,73
412,                                        PlayStation 4,third-person,Strange Brigade,73
413,                                        PC,third-person,Secrets of the Ark: A Broken Sword Game,73
414,                                        Xbox 360,third-person,Hybrid,73
415,                                        PlayStation,third-person,Syphon Filter 3,73
416,                                        iOS,third-person,The Walking Dead: Michonne - Episode 1: In Too Deep,73
417,                                        PC,third-person,Gears of War: Ultimate Edition for Windows 10,73
418,                                        PSP,third-person,Flying Hamster,73
419,                                        PlayStation 3,third-person,Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,73
420,                                        Xbox,third-person,Gunvalkyrie,73
421,                                        PSP,third-person,Star Wars Battlefront: Renegade Squadron,73
422,                                        Xbox One,third-person,Marvel's Guardians of the Galaxy - Episode 4: Who Needs You,73
423,                                        Xbox 360,third-person,Star Wars: The Force Unleashed,73
424,                                        PC,third-person,Wattam,73
425,                                        PC,third-person,Broken Age: Act 2,73
426,                                        iOS,third-person,9mm,73
427,                                        Xbox One,third-person,Red Faction: Guerrilla Re-Mars-tered,73
428,                                        PlayStation 2,third-person,Max Payne 2: The Fall of Max Payne,73
429,                                        PlayStation 2,third-person,SOCOM: U.S. Navy Seals: Combined Assault,72
430,                                        PC,third-person,Dreamfall Chapters Book One: Reborn,72
431,                                        DS,third-person,Brothers In Arms DS,72
432,                                        PlayStation 4,third-person,Beyond: Two Souls,72
433,                                        PlayStation Vita,third-person,Earth Defense Force 2: Invaders From Planet Space,72
434,                                        PC,third-person,Loadout,72
435,                                        Switch,third-person,Red Faction: Guerrilla Re-Mars-tered,72
436,                                        iOS,third-person,Beyond Space,72
437,                                        Wii,third-person,Disney's Chicken Little: Ace in Action,72
438,                                        PlayStation 3,third-person,Dark Sector,72
439,                                        Wii,third-person,Endless Ocean,72
440,                                        PlayStation 4,third-person,Matterfall,72
441,                                        Xbox One,third-person,Sea of Solitude,72
442,                                        PlayStation 3,third-person,The Club,72
443,                                        PC,third-person,Total Overdose: A Gunslinger's Tale in Mexico,72
444,                                        PSP,third-person,SOCOM: U.S. Navy SEALs Tactical Strike,72
445,                                        Xbox,third-person,Syberia,72
446,                                        PlayStation 2,third-person,Star Wars: The Clone Wars,72
447,                                        Xbox One,third-person,Sword Art Online: Fatal Bullet,72
448,                                        iOS,third-person,Shadowgun,72
449,                                        PlayStation 4,third-person,Marvel's Guardians of the Galaxy - Episode 1: Tangled Up in Blue,72
450,                                        PlayStation 4,third-person,Spellbreak,72
451,                                        PlayStation 2,third-person,Robotech: Battlecry,72
452,                                        PlayStation 3,third-person,Binary Domain,72
453,                                        PlayStation 3,third-person,50 Cent: Blood on the Sand,72
454,                                        PlayStation 4,third-person,Marvel's Guardians of the Galaxy - Episode 5: Don't Stop Believin',72
455,                                        PC,third-person,The Sum of All Fears,72
456,                                        DS,third-person,Bionicle Heroes,72
457,                                        PC,third-person,Burn Zombie Burn,72
458,                                        PC,third-person,Marvel's Guardians of the Galaxy - Episode 3: More Than A Feeling,72
459,                                        PlayStation 4,third-person,Earth Defense Force 5,72
460,                                        PC,third-person,Zombie Army Trilogy,72
461,                                        Xbox 360,third-person,Call of Duty Classic,72
462,                                        Xbox 360,third-person,Army of Two,72
463,                                        PlayStation 3,third-person,Heavy Rain: Move Edition,72
464,                                        PlayStation 4,third-person,Wattam,72
465,                                        PC,third-person,Marvel's Guardians of the Galaxy - Episode 2: Under Pressure,72
466,                                        Xbox 360,third-person,Dark Sector,72
467,                                        Xbox 360,third-person,Red Faction: Armageddon,71
468,                                        PC,third-person,Back to the Future: The Game - Episode III: Citizen Brown,71
469,                                        Wii,third-person,Star Wars: The Force Unleashed,71
