,platform,genre,title,score
262,                                        Wii,adventure,Tales of Monkey Island Chapter 5: Rise of the Pirate God,83
263,                                        PlayStation 2,adventure,Indigo Prophecy,83
264,                                        PC,adventure,Monaco: What's Yours Is Mine,83
265,                                        iOS,adventure,Fester Mudd: Curse of the Gold - Episode 1,83
266,                                        PlayStation Vita,adventure,Zero Escape: Zero Time Dilemma,83
267,                                        Xbox One,adventure,ABZU,83
268,                                        PlayStation 4,adventure,Creaks,83
269,                                        PC,adventure,The Sexy Brutale,83
270,                                        iOS,adventure,Hector: Badge of Carnage - Episode 2: Senseless Acts of Justice,83
271,                                        PlayStation 4,adventure,The Wolf Among Us,83
272,                                        PlayStation 4,adventure,The Unfinished Swan,83
273,                                        PlayStation 4,adventure,Detention,83
274,                                        PC,adventure,Subsurface Circular,83
275,                                        PC,adventure,ABZU,83
276,                                        iOS,adventure,The Blockheads,83
277,                                        iOS,adventure,Zombie Infection,83
278,                                        PC,adventure,Hypnospace Outlaw,83
279,                                        PC,adventure,L.A. Noire: The Complete Edition,83
280,                                        PlayStation 4,adventure,Tales From The Borderlands: Episode 3 - Catch A Ride,83
281,                                        iOS,adventure,Dead Space for iPad,83
282,                                        iOS,adventure,Thimbleweed Park,83
283,                                        PC,adventure,Myst III: Exile,83
284,                                        Switch,adventure,Buried Stars,83
285,                                        PC,adventure,Superbrothers: Sword & Sworcery EP,83
286,                                        Wii,adventure,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,83
287,                                        iOS,adventure,Hook Worlds,83
288,                                        iOS,adventure,Shaun the Sheep: Home Sheep Home 2,83
289,                                        iOS,adventure,Terra Noctis,83
290,                                        iOS,adventure,McPixel,83
291,                                        Xbox One,adventure,Batman: The Telltale Series - Episode 2: Children of Arkham,83
292,                                        PC,adventure,The Wizards - Dark Times,83
293,                                        Switch,adventure,Code:Realize - Guardian of Rebirth,83
294,                                        PC,adventure,Tales From Off-Peak City Vol. 1,83
295,                                        Switch,adventure,The Talos Principle: Deluxe Edition,83
296,                                        iOS,adventure,HoloVista,83
297,                                        PC,adventure,The Book of Unwritten Tales,82
298,                                        PlayStation Vita,adventure,Alone With You,82
299,                                        iOS,adventure,Sneaky Sneaky,82
300,                                        Switch,adventure,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,82
301,                                        Xbox One,adventure,The Sexy Brutale,82
302,                                        PC,adventure,L.A. Noire: The VR Case Files,82
303,                                        Xbox 360,adventure,Minecraft: Xbox 360 Edition,82
304,                                        iOS,adventure,Run Roo Run,82
305,                                        PC,adventure,Kentucky Route Zero - Act II,82
306,                                        PlayStation 3,adventure,The Wolf Among Us: Episode 2 - Smoke and Mirrors,82
307,                                        PlayStation 3,adventure,The Wolf Among Us: Episode 3 - A Crooked Mile,82
308,                                        Xbox One,adventure,Darkestville Castle,82
309,                                        Xbox One,adventure,RiME,82
310,                                        PlayStation 3,adventure,The Walking Dead: Season Two Episode 1 - All That Remains,82
311,                                        PC,adventure,Sam & Max Episode 105: Reality 2.0,82
312,                                        iOS,adventure,Beneath a Steel Sky: Remastered,82
313,                                        iOS,adventure,Artist Colony,82
314,                                        PC,adventure,Chicken Police - Paint it RED!,82
315,                                        PlayStation 3,adventure,LEGO The Lord of the Rings,82
316,                                        PlayStation 4,adventure,The Walking Dead: Michonne - Episode 2: Give No Shelter,82
317,                                        PC,adventure,Gemini Rue,82
318,                                        PC,adventure,Danganronpa: Trigger Happy Havoc,82
319,                                        iOS,adventure,Little Luca,82
320,                                        PlayStation 4,adventure,I Expect You To Die,82
321,                                        Xbox 360,adventure,The Walking Dead: Season Two Episode 3 - In Harm's Way,82
322,                                        PC,adventure,Tales of Monkey Island Chapter 3: Lair of the Leviathan,82
323,                                        PlayStation Vita,adventure,The Walking Dead: A Telltale Games Series - The Complete First Season,82
324,                                        PC,adventure,Broken Sword: The Sleeping Dragon,82
325,                                        PlayStation 3,adventure,The Walking Dead: Season Two Episode 2 - A House Divided,82
326,                                        iOS,adventure,Florence,82
327,                                        PC,adventure,The Talos Principle: Road To Gehenna,82
328,                                        PC,adventure,Lara Croft and the Guardian of Light,82
329,                                        Xbox One,adventure,Tales From The Borderlands: Episode 1 - Zer0 Sum,82
330,                                        PC,adventure,King's Quest Chapter 1: A Knight to Remember,82
331,                                        iOS,adventure,Robot Wants Kitty,82
332,                                        PC,adventure,Burly Men At Sea,82
333,                                        iOS,adventure,GNOG,82
334,                                        PlayStation 4,adventure,PHOGS!,82
335,                                        PC,adventure,Welcome to Elk,82
336,                                        PC,adventure,Creaks,82
337,                                        PC,adventure,The Wolf Among Us: Episode 3 - A Crooked Mile,82
338,                                        Xbox 360,adventure,Prince of Persia Classic,82
339,                                        Wii,adventure,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,82
340,                                        PC,adventure,Paradise Killer,82
341,                                        PC,adventure,Sam & Max Episode 201: Ice Station Santa,82
342,                                        PC,adventure,Technobabylon,82
343,                                        PC,adventure,ETHER One,82
344,                                        PC,adventure,The Vanishing of Ethan Carter,82
345,                                        Switch,adventure,Forgotton Anne,82
346,                                        PC,adventure,Children of Morta,82
347,                                        PC,adventure,Syberia,82
348,                                        PC,adventure,The Walking Dead: Episode 1 - A New Day,82
349,                                        Switch,adventure,Thimbleweed Park,82
350,                                        Xbox 360,adventure,The Wolf Among Us: Episode 1 - Faith,82
351,                                        iOS,adventure,Air Penguin,82
352,                                        iOS,adventure,Riven: The Sequel to Myst,82
353,                                        iOS,adventure,Radiant One,82
354,                                        Switch,adventure,Lair of the Clockwork God,82
355,                                        PC,adventure,Strong Bad's Cool Game for Attractive People Episode 5: 8-Bit Is Enough,82
356,                                        Xbox 360,adventure,The Walking Dead: Episode 4 - Around Every Corner,82
357,                                        PlayStation Vita,adventure,Day of the Tentacle Remastered,82
358,                                        Wii U,adventure,Year Walk,82
359,                                        PC,adventure,Botanicula,82
360,                                        DS,adventure,"Nine Hours, Nine Persons, Nine Doors",82
361,                                        iOS,adventure,Shivah,82
362,                                        PC,adventure,The Last Express,82
363,                                        PC,adventure,Broken Age: Act 1,82
364,                                        iOS,adventure,Indigo Lake,82
365,                                        iOS,adventure,Hero of Sparta II,81
366,                                        iOS,adventure,OMG Pirates!,81
367,                                        iOS,adventure,Zombie Parkour Runner,81
368,                                        iOS,adventure,Miss Fisher and the Deathly Maze - Ep. 1,81
369,                                        PC,adventure,To the Moon,81
370,                                        PC,adventure,Nancy Drew: Danger on Deception Island,81
371,                                        PlayStation 4,adventure,Danganronpa V3: Killing Harmony,81
372,                                        Switch,adventure,Oxenfree,81
373,                                        PC,adventure,The Walking Dead: Season Two Episode 3 - In Harm's Way,81
374,                                        PlayStation 4,adventure,Tearaway Unfolded,81
375,                                        iOS,adventure,LEGO Batman: DC Super Heroes,81
376,                                        PC,adventure,Nancy Drew: The Haunting of Castle Malloy,81
377,                                        Switch,adventure,Paradise Killer,81
378,                                        PlayStation 3,adventure,From Dust,81
379,                                        3DS,adventure,Phoenix Wright: Ace Attorney - Dual Destinies,81
380,                                        Switch,adventure,The Lion's Song,81
381,                                        PC,adventure,Kentucky Route Zero - Act I,81
382,                                        iOS,adventure,Primordia,81
383,                                        PlayStation 4,adventure,The First Tree: Console Edition,81
384,                                        PC,adventure,Irony Curtain: From Matryoshka with Love,81
385,                                        Xbox One,adventure,Irony Curtain: From Matryoshka with Love,81
386,                                        PC,adventure,Frog Detective 2: The Case of the Invisible Wizard,81
387,                                        Switch,adventure,Aviary Attorney: Definitive Edition,81
388,                                        Wii,adventure,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,81
389,                                        PC,adventure,Stygian: Reign of the Old Ones,81
390,                                        PC,adventure,Tales of Monkey Island Chapter 5: Rise of the Pirate God,81
391,                                        PC,adventure,Strong Bad's Cool Game for Attractive People Episode 2: Strong Badia the Free,81
392,                                        PC,adventure,The Cat Lady,81
393,                                        Xbox One,adventure,Chicken Police - Paint it RED!,81
394,                                        DS,adventure,Phoenix Wright: Ace Attorney,81
395,                                        iOS,adventure,Gunman Clive,81
396,                                        iOS,adventure,The Lords of Midnight,81
397,                                        Xbox One,adventure,Batman: The Enemy Within - Episode 4: What Ails You,81
398,                                        Switch,adventure,Wunderling,81
399,                                        PC,adventure,The Walking Dead: Season Two Episode 2 - A House Divided,81
400,                                        PC,adventure,Tales From The Borderlands: Episode 3 - Catch A Ride,81
401,                                        PlayStation 4,adventure,Broken Age,81
402,                                        PC,adventure,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,81
403,                                        PC,adventure,The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,81
404,                                        PC,adventure,Firewatch,81
405,                                        iOS,adventure,Bean's Quest,81
406,                                        iOS,adventure,Hairy Tales,81
407,                                        PC,adventure,Emily is Away Too,81
408,                                        PlayStation 4,adventure,The Invisible Hours,81
409,                                        Switch,adventure,The Infectious Madness of Doctor Dekker,81
410,                                        Xbox One,adventure,The Gardens Between,81
411,                                        Xbox One,adventure,Omensight: Definitive Edition,81
412,                                        Switch,adventure,Root Double: Before Crime * After Days - Xtend Edition,81
413,                                        3DS,adventure,Phoenix Wright: Ace Attorney - Spirit of Justice,81
414,                                        PC,adventure,CHUCHEL,81
415,                                        PC,adventure,Strong Bad's Cool Game for Attractive People Episode 4: Dangeresque 3: The Criminal Projective,81
416,                                        PC,adventure,Rochard,81
417,                                        iOS,adventure,The Sims 3: Ambitions,81
418,                                        PC,adventure,FORM,81
419,                                        PC,adventure,Ghostrunner,81
420,                                        iOS,adventure,Pizza Boy,81
421,                                        PlayStation 4,adventure,The Walking Dead: Season Two - A Telltale Games Series,81
422,                                        PlayStation 4,adventure,The Exorcist: Legion VR,81
423,                                        PlayStation 4,adventure,Minit,81
424,                                        PlayStation 4,adventure,Tales From The Borderlands: Episode 2 - Atlas Mugged,81
425,                                        Xbox 360,adventure,Monaco: What's Yours Is Mine,81
426,                                        PC,adventure,Stories Untold,81
427,                                        iOS,adventure,Vector Tanks EXTREME!,81
428,                                        PC,adventure,Nelly Cootalot: The Fowl Fleet,81
429,                                        iOS,adventure,Another Lost Phone: Laura's Story,81
430,                                        PC,adventure,Nancy Drew: Curse of Blackmoor Manor,81
431,                                        GameCube,adventure,Bomberman Generation,81
432,                                        PC,adventure,Sam & Max Episode 101: Culture Shock,81
433,                                        PlayStation Vita,adventure,Danganronpa 2: Goodbye Despair,81
434,                                        3DS,adventure,Zero Escape: Zero Time Dilemma,81
435,                                        PlayStation 4,adventure,The Vanishing of Ethan Carter,81
436,                                        Switch,adventure,The Darkside Detective,81
437,                                        DS,adventure,Phoenix Wright: Ace Attorney - Trials and Tribulations,81
438,                                        PlayStation 4,adventure,Steins;Gate 0,81
439,                                        PlayStation 3,adventure,The Walking Dead: Episode 4 - Around Every Corner,81
440,                                        PC,adventure,Horace,81
441,                                        PlayStation 4,adventure,L.A. Noire: The VR Case Files,81
442,                                        Xbox One,adventure,Subnautica,81
443,                                        PC,adventure,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,81
444,                                        PlayStation 3,adventure,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,81
445,                                        PC,adventure,The Book of Unwritten Tales 2,80
446,                                        iOS,adventure,Another World: 20th Anniversary Edition,80
447,                                        iOS,adventure,Storm in a Teacup,80
448,                                        iOS,adventure,Phoenix Wright: Ace Attorney,80
449,                                        Switch,adventure,The Red Strings Club,80
450,                                        Switch,adventure,ABZU,80
451,                                        PC,adventure,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",80
452,                                        PC,adventure,Syberia II,80
453,                                        PC,adventure,Detroit: Become Human,80
454,                                        Xbox One,adventure,King's Quest Chapter 3: Once Upon a Climb,80
455,                                        PC,adventure,Mutazione,80
456,                                        Switch,adventure,Children of Morta,80
457,                                        PC,adventure,Sam & Max Episode 202: Moai Better Blues,80
458,                                        Xbox One,adventure,Game of Thrones: Episode Three - The Sword in the Darkness,80
459,                                        PC,adventure,Detective Di: The Silk Rose Murders,80
460,                                        PlayStation 4,adventure,Subnautica,80
461,                                        PC,adventure,Sam & Max Episode 104: Abe Lincoln Must Die!,80
462,                                        Game Boy Advance,adventure,Broken Sword: The Shadow of the Templars,80
463,                                        PlayStation 4,adventure,Transpose,80
464,                                        PC,adventure,Monster Prom 2: Monster Camp,80
465,                                        Xbox 360,adventure,LEGO The Lord of the Rings,80
466,                                        PlayStation Vita,adventure,Utawarerumono: Mask of Deception,80
467,                                        Xbox 360,adventure,From Dust,80
468,                                        Xbox One,adventure,Virginia,80
469,                                        PC,adventure,Oxenfree,80
470,                                        PlayStation 4,adventure,Ghost Giant,80
