,platform,title,score,genre
35,no platform,The Queen's Gambit: Season 1,79,music
36,no platform,Agents of Chaos: Season 1,79,music
37,no platform,Lovecraft Country: Season 1,79,music
38,no platform,The Flight Attendant: Season 1,79,music
39,no platform,Everything's Gonna Be Okay: Season 1,79,music
40,no platform,Unbreakable Kimmy Schmidt: Kimmy Vs. The Reverend,79,music
41,no platform,What We Do in the Shadows (2019): Season 2,79,music
42,no platform,Search Party (2016): Season 3,78,music
43,no platform,In My Skin: Season 1,78,music
44,no platform,A West Wing Special to Benefit When We All Vote,78,music
45,no platform,Love Fraud: Season 1,77,music
46,no platform,Ozark: Season 3,77,music
47,no platform,Betty: Season 1,77,music
48,no platform,Party of Five (2020): Season 1,77,music
49,no platform,Julie and the Phantoms: Season 1,77,music
50,no platform,"Tiger King: Murder, Mayhem and Madness: Season 1",76,music
51,no platform,We Are Who We Are: Season 1,76,music
52,no platform,Challenger: The Final Flight,76,music
53,no platform,The Vow (2020),76,music
54,no platform,Star Trek: Picard: Season 1,76,music
55,no platform,The Mandalorian: Season 2,76,music
56,no platform,Patton Oswalt: I Love Everything,76,music
57,no platform,Hillary: Season 1,75,music
58,no platform,Star Trek: Discovery: Season 3,75,music
59,no platform,Hannah Gadsby: Douglas,75,music
60,no platform,Des,75,music
61,no platform,Run (2020): Season 1,75,music
62,no platform,The Great: Season 1,75,music
63,no platform,Dracula (2020): Season 1,75,music
64,no platform,Quiz,75,music
65,no platform,Frayed: Season 1,75,music
66,no platform,World On Fire: Season 1,74,music
67,no platform,Jerry Seinfeld: 23 Hours to Kill,74,music
68,no platform,Dirty John: Season 2,73,music
69,no platform,Expecting Amy,73,music
70,no platform,Mythic Quest: Raven's Banquet: Season 1,73,music
71,no platform,Deadwater Fell: Season 1,73,music
72,no platform,The Capture: Season 1,72,music
73,no platform,Stateless: Season 1,72,music
74,no platform,Teenage Bounty Hunters: Season 1,72,music
75,no platform,Twenties: Season 1,72,music
76,no platform,Dead to Me: Season 2,72,music
77,no platform,Solar Opposites: Season 1,72,music
78,no platform,The Not Too Late Show with Elmo: Season 1,72,music
79,no platform,McMillions,71,music
80,no platform,Homeland: Season 8,71,music
81,no platform,Devs: Season 1,71,music
82,no platform,Shrill: Season 2,71,music
83,no platform,The Great British Baking Show: Season 9,71,music
84,no platform,Looney Tunes Cartoons: Season 1,71,music
85,no platform,Sanditon: Season 1,71,music
86,no platform,Sarah Cooper: Everything's Fine,71,music
87,no platform,Ted Lasso: Season 1,71,music
88,no platform,Katy Keene: Season 1,71,music
89,no platform,Belgravia: Season 1,70,music
90,no platform,Industry: Season 1,70,music
91,no platform,Gentefied: Season 1,70,music
92,no platform,High Fidelity: Season 1,70,music
93,no platform,Trial by Media: Season 1,69,music
94,no platform,Little Fires Everywhere: Season 1,69,music
95,no platform,Legendary: Season 1,69,music
96,no platform,Trying: Season 1,69,music
97,no platform,A Wilderness of Error,69,music
98,no platform,"Love, Victor: Season 1",69,music
99,no platform,Fargo: Season 4,68,music
